Transaction Number,Vendor,Category,Amount
8001809582,UNIVERSITY OF WESTMINSTER,Learning and Development,"£11,370"
8001847542,WIDER OPTIONS (3) LTD,Children and Education,"£11,359"
5201138412,HAGS-SMP LTD T/A RSS-PLAYMAKERS,Public Realm,"£11,332"
8001843584,BROOKDALE HEALTHCARE,Temporary Accommodation,"£11,243"
1900804194,IRG ADVISORS LLP,People and Recruitment,"£11,213"
1900803449,KISHARON,General,"£11,210"
8001810637,FIVE RIVERS CHILD CARE LTD,Temporary Accommodation,"£11,200"
8001847468,THE DISABILITIES TRUST,Temporary Accommodation,"£11,153"
5201138350,UNITED GUARDING SERVICES LTD,General,"£11,052"
1900804404,GATENBYSANDERSON LTD,People and Recruitment,"£11,040"
1900803916,LB OF EALING,IT and Telecoms,"£11,025"
1900804208,PENNA PLC,Children and Education,"£11,020"
1900802265,SYSTEM ASSOCIATES LTD,IT and Telecoms,"£11,000"
5201141121,RIVINGTON STREET STUDIO LIMITED,"Construction, Property and Fac Man","£11,000"
1900802505,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£10,953"
8001848617,SENSE,Social care,"£10,934"
5201139319,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£10,830"
1900802241,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£10,710"
1900802242,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£10,665"
8001800961,NAS SERVICES LTD,Social care,"£10,658"
1900802274,COFELY LTD,Energy and Utilities,"£10,639"
8001825335,ASHNESS CARE LTD,Temporary Accommodation,"£10,586"
5201138627,MOTT MACDONALD LIMITED,"Construction, Property and Fac Man","£10,546"
8001846440,VENTRY RESIDENTIAL CARE LTD,Temporary Accommodation,"£10,529"
1900804216,COFELY LTD,Energy and Utilities,"£10,518"
5201139165,GROUNDWORK LONDON,Public Realm,"£10,452"
8001806201,MARCUS & MARCUS LTD,Social care,"£10,424"
8001827241,MARCUS & MARCUS LTD,Social care,"£10,424"
1900802507,IRG ADVISORS LLP,People and Recruitment,"£10,400"
8001847484,THE DISABILITIES TRUST,Temporary Accommodation,"£10,360"
8001847512,THE DISABILITIES TRUST,Temporary Accommodation,"£10,360"
8001850522,UNIFIED CARE LTD T/A VICTORIA'S CAR,Temporary Accommodation,"£10,286"
5201139373,LYNCADE LTD t/a CAVENDISH CARS,Transport & Travel,"£10,267"
8001804551,CORE OUTREACH & CARE SERVICES UK LT,Social care,"£10,244"
8001847665,CONNIFIERS CARE LIMITED,Temporary Accommodation,"£10,238"
1900802993,PENNA PLC,Children and Education,"£10,200"
200344536,METROPOLITAN CARE AND REPAIR,Social care,"£10,199"
1900803506,J.A. STEEL AND SON LTD,General,"£10,160"
1900804141,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£10,159"
8001807586,SPRINGDENE NURSING & CARE HOMES LTD,Social care,"£10,151"
8001848545,SENSE,Temporary Accommodation,"£10,151"
5201138077,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£10,000"
1900804167,P SENIOR ASSOCIATES,Children and Education,"£10,000"
5201141266,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£10,000"
5201140764,TOTTENHAM HOTSPUR FOUNDATION,Sport and Leisure,"£10,000"
5201141468,TOTTENHAM HOTSPUR FOUNDATION,Sport and Leisure,"£10,000"
5201138666,EXTERION MEDIA (UK) LIMITED,Communication,"£10,000"
8001823341,CONSENSA CARE LTD,Temporary Accommodation,"£9,996"
8001754819,ADEZA CARE HOMES LTD,Temporary Accommodation,"£9,964"
1900803440,KISHARON,General,"£9,953"
1900802643,INTRINSIQUE LTD,People and Recruitment,"£9,900"
5201138932,DIRECT SURVEILLANCE SOLUTIONS LTD,"Construction, Property and Fac Man","£9,880"
5201138933,DIRECT SURVEILLANCE SOLUTIONS LTD,"Construction, Property and Fac Man","£9,877"
8001847478,CARETECH COMMUNITY SERVICES LTD,Temporary Accommodation,"£9,876"
1900803553,REDFERN TRAVEL LTD,Transport & Travel,"£9,838"
5201138442,BDI SECURITIES UK LIMITED,"Construction, Property and Fac Man","£9,835"
1900804765,FRANKHAM CONSULTANCY GROUP LTD,"Construction, Property and Fac Man","£9,808"
1900804382,FRANKHAM CONSULTANCY GROUP LTD,"Construction, Property and Fac Man","£9,808"
1900802826,BARNET ENFIELD+HARINGEY MH TRUST,People and Recruitment,"£9,771"
1900802824,BARNET ENFIELD+HARINGEY MH TRUST,People and Recruitment,"£9,771"
1900802825,BARNET ENFIELD+HARINGEY MH TRUST,People and Recruitment,"£9,771"
200344544,ST IGNATIUS HOUSING ASSOCIATION,Social care,"£9,746"
5201140129,EXPRESSWAYS LTD,Transport & Travel,"£9,744"
8001847598,CMG LTD,Temporary Accommodation,"£9,723"
1900803441,KISHARON,General,"£9,688"
5201140467,UNITED GUARDING SERVICES LTD,General,"£9,670"
1900804409,GATENBYSANDERSON LTD,People and Recruitment,"£9,660"
8001822741,VINEYARD (UK) SERVICES LTD,Social care,"£9,660"
1900804336,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£9,643"
8001846611,MAGICARE LTD,Temporary Accommodation,"£9,633"
8001843597,LONDON CARE PARTNERSHIP LTD,Temporary Accommodation,"£9,619"
5201138570,CYCLING INSTRUCTOR LTD,Learning and Development,"£9,598"
1900803938,WING PARKING LTD,Public Realm,"£9,522"
1900804476,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£9,501"
1900801882,PLEXUS LAW CLIENT ACCOUNT,Finance,"£9,500"
5201140706,DIRECT SURVEILLANCE SOLUTIONS LTD,"Construction, Property and Fac Man","£9,484"
5201138671,OVE ARUP & PARTNERS LTD,People and Recruitment,"£9,450"
1900804933,WING PARKING LTD,Public Realm,"£9,377"
1900803718,JOHN ROWAN AND PARTNERS LLP,"Construction, Property and Fac Man","£9,360"
1900802278,PENNA PLC,People and Recruitment,"£9,360"
1900803640,GENERAL ACCOMMODATION ESTATES LTD,Temporary Accommodation,"£9,359"
1900805015,PLEXUS CLIENT ACCOUNT,Finance,"£9,350"
5201139805,REDACTED PERSONAL DATA,People and Recruitment,"£9,333"
1900803900,OMEGA LETTINGS LTD,Temporary Accommodation,"£9,320"
1900804143,THE COPYRIGHT LICENSING AGENCY LTD,Learning and Development,"£9,304"
5201138766,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£9,286"
1900803180,STACE LLP,"Construction, Property and Fac Man","£9,242"
8001848952,16 TO 21 PROJECT LTD,Temporary Accommodation,"£9,234"
8001843604,HOFFMANN FOUNDATION FOR AUTISM,Social care,"£9,200"
5201140067,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£9,177"
1900804321,THOMAS RIDLEY & SON  LTD,Food and Drink,"£9,131"
5201140854,CAPITA PROPERTY & INFRASTRUCTURE LT,"Construction, Property and Fac Man","£9,114"
8001801141,CONSENSA CARE LTD,Temporary Accommodation,"£9,029"
1900803447,KISHARON,General,"£9,000"
1900802059,CAPITA PROPERTY & INFRASTRUCTURE LT,"Construction, Property and Fac Man","£9,000"
8001847599,CMG LTD,Temporary Accommodation,"£8,961"
1900804424,AMEO LIMITED,People and Recruitment,"£8,925"
8001848539,SENSE,Social care,"£8,870"
8001847594,PRECIOUS HOMES LTD,Temporary Accommodation,"£8,862"
8001848963,ADEZA CARE HOMES LTD,Temporary Accommodation,"£8,857"
8001754817,ADEZA CARE HOMES LTD,Temporary Accommodation,"£8,857"
1900802230,HUMAN MANAGEMENT ASSISTANCE LIMITED,General,"£8,836"
8001849062,CHARTWELL CARE PLC,Temporary Accommodation,"£8,800"
5201138849,"EAST ARCHIT, LANDSCAPE, URBAN DSGN",People and Recruitment,"£8,800"
1900803474,LONDON BOROUGH OF TOWER HAMLETS,General,"£8,711"
