Transaction,Vendor,Category,  Amount  
8001482350,SEVACARE (UK) LTD,Social care,"£1,378.36"
8001482481,HAZELDENE LTD,"Construction, Property and Fac Man","£1,375.00"
8001488146,SEVACARE (UK) LTD,Social care,"£1,374.89"
8001480002,INDEPENDENT PLUS LTD,"Construction, Property and Fac Man","£1,373.19"
5201109603,NORTHGATE INFORMATION SOLUTIONS LTD,IT and Telecoms,"£1,369.20"
8001494003,NORTH LONDON ASIAN CARE,Social care,"£1,368.46"
5201111605,BINOH,Children and Education,"£1,365.00"
1900782553,PREMIER CAREWAITING LTD,General,"£1,365.00"
8001484521,EXTRA MILE CARE COMPANY,Social care,"£1,364.27"
8001487921,SEVACARE (UK) LTD,Social care,"£1,362.76"
5201111502,REDACTED PERSONAL DATA,Sport and Leisure,"£1,362.33"
8001479490,ABBEYDALE,Temporary Accommodation,"£1,361.61"
1900783528,LONDON FORENSIC PATHOLOGY LTD,General,"£1,361.20"
5201109209,ROYAL MAIL GROUP PLC,General,"£1,360.86"
1900781945,REDACTED PERSONAL DATA,People and Recruitment,"£1,360.00"
8001493042,HEADWAY EAST LONDON,Social care,"£1,360.00"
8001478421,HEADWAY EAST LONDON,Social care,"£1,360.00"
200334684,PHOENIX COMMUNITY CARE LTD,Social care,"£1,359.88"
8001496722,REDACTED PERSONAL DATA,Temporary Accommodation,"£1,357.85"
8001496981,DE BOHUN CARE LTD,Temporary Accommodation,"£1,355.15"
8001477124,MAISON MOTI LTD,Temporary Accommodation,"£1,353.88"
8001472300,ADR CARE HOMES LTD,Temporary Accommodation,"£1,353.16"
5201109734,REDACTED PERSONAL DATA,Sport and Leisure,"£1,352.73"
200334664,HORNSEY HOUSING TRUST,Social care,"£1,350.44"
200334666,HORNSEY HOUSING TRUST,Social care,"£1,350.44"
5201109730,REDACTED PERSONAL DATA,Social care,"£1,350.00"
8001489441,LOUISIANNA PROPERTIES LTD,Temporary Accommodation,"£1,350.00"
8001480521,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,350.00"
