Transaction,Vendor,Category,Amount
200332622,DIMENSIONS (UK) LIMITED,Social Care,"£4,800.00"
200332624,CYPRIOT ELDERLY & DISABLED GROUP,Social Care,"£4,797.68"
200332626,HARINGEY SOMALI COMMUNIT & CULTURAL,Social Care,"£4,797.68"
200332627,KURDISH ADVICE CENTRE,Social Care,"£4,797.68"
200332630,TURKISH CYPRIOT WOMEN'S PROJECT,Social Care,"£4,797.68"
8001435346,INTEGRATED SERVICES PROGRAMME,Children and Education,"£4,776.80"
8001435485,INTEGRATED SERVICES PROGRAMME,Children and Education,"£4,776.68"
8001435486,INTEGRATED SERVICES PROGRAMME,Children and Education,"£4,776.68"
8001435348,INTEGRATED SERVICES PROGRAMME,Children and Education,"£4,776.52"
8001435482,INTEGRATED SERVICES PROGRAMME,Children and Education,"£4,776.52"
1900776518,PLEXUS LAW CLIENT ACCOUNT,Finance,"£4,750.00"
5201100772,EFFECTABLE CONSTRUCTION SERVICES LT,Social Care,"£4,748.24"
5201102031,WHITEOWL LIMITED,Recruitment and People,"£4,730.00"
1900775218,WING PARKING LTD,Public Realm,"£4,700.16"
8001432369,SCOPE,Social Care,"£4,694.88"
8001432524,SHERICO CARE SERVICES LTD,Temporary Accommodation,"£4,681.24"
1900776013,DIGNITY FUNERALS LTD,General,"£4,675.00"
1900776589,HOMES FOR HARINGEY LIMITED,General,"£4,661.34"
5201101794,REDACTED PERSONAL DATA,Recruitment and People,"£4,655.00"
1900775679,JLT CONSTRUCTION,"Construction, Property and Fac Man","£4,635.00"
1900776383,JLT CONSTRUCTION,"Construction, Property and Fac Man","£4,635.00"
8001432372,SCOPE,Social Care,"£4,624.64"
8001432692,CHOICE SUPPORT,Temporary Accommodation,"£4,617.72"
5201099596,VOLKERHIGHWAYS LTD,Public Realm,"£4,609.75"
8001435581,HILLCREST CARE LTD,Temporary Accommodation,"£4,604.00"
5201100880,ALL DIMENSION LIMITED,Learning and Development,"£4,587.96"
8001432634,CASCADE CARE LTD,Temporary Accommodation,"£4,577.76"
8001435458,INTEGRATED SERVICES PROGRAMME,Children and Education,"£4,568.00"
5201102000,HILLCREST CARE LTD,Children and Education,"£4,560.08"
1900775375,PREMIER FRUITS (CATERING) LTD,Food and Drink,"£4,558.37"
5201101405,POSITIVE EMPLOYMENT & TRAINING JOB,General,"£4,553.52"
5201099750,G L HEARN LIMITED,People and Recruitment,"£4,540.00"
8001432622,CONNIFIERS CARE LIMITED,Temporary Accommodation,"£4,523.20"
8001420301,ALLISON LODGE LIMITED,"Construction, Property and Fac Man","£4,514.21"
5201099225,HILL-ROM LIMITED,Social Care,"£4,505.00"
5201099428,CATCH 22,Social Care,"£4,500.00"
1900776007,CIVICA UK LTD,IT and Telecoms,"£4,500.00"
1900776992,DVIP,Legal,"£4,500.00"
1900776952,VAROSI ESTATES LIMITED,Temporary Accommodation,"£4,492.00"
8001432716,CHOICE SUPPORT,Temporary Accommodation,"£4,482.48"
5201100314,W G WIGGINTON LTD,"Construction, Property and Fac Man","£4,482.27"
1900775904,BEST PRACTICE NETWORK,Recruitment and People,"£4,480.00"
5201100249,OXFORD COMPUTER CONSULTANTS LTD,IT and Telecoms,"£4,455.00"
8001431063,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£4,450.49"
1900775869,RESOURCES FOR AUTISM,Children and Education,"£4,443.00"
1900775870,RESOURCES FOR AUTISM,Children and Education,"£4,443.00"
5201100871,PAROSE PROJECTS LIMITED,Recruitment and People,"£4,441.50"
1900776991,DVIP,Legal,"£4,437.36"
8001418221,RISHANA HOMES LIMITED,Children and Education,"£4,428.50"
1900775725,VAROSI ESTATES LIMITED,Temporary Accommodation,"£4,413.18"
5201011783,ROYAL NATIONAL INSTITUTE FOR DEAF P,Social Care,"£4,412.68"
8001423226,BARCHESTER HEALTHCARE HOMES LTD,Temporary Accommodation,"£4,406.43"
1900775632,PREMIER FRUITS (CATERING) LTD,Food and Drink,"£4,401.31"
5201101317,RIDGE AND PARTNERS LLP,"Construction, Property and Fac Man","£4,392.00"
